
[INFO ] 13-06-2021 03:27:37.417 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 03:27:46.412 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 10.17 seconds (JVM running for 12.285)
[INFO ] 13-06-2021 03:44:37.164 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 13572 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 13-06-2021 03:44:37.170 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 03:44:45.312 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.279 seconds (JVM running for 11.245)
[INFO ] 13-06-2021 04:07:03.881 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 15460 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 13-06-2021 04:07:03.887 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 04:07:12.039 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.34 seconds (JVM running for 11.133)
[INFO ] 13-06-2021 04:10:51.224 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 3864 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 13-06-2021 04:10:51.231 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 04:10:59.311 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.172 seconds (JVM running for 11.182)
[INFO ] 13-06-2021 04:15:02.256 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 7056 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 13-06-2021 04:15:02.262 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 04:15:10.743 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.688 seconds (JVM running for 11.73)
